datetime,ENTX,ENTX_filtered,ENTY,ENTY_filtered,ENTZ,ENTZ_filtered,ENTF,ENTF_filtered
2026-04-23 00:00:00,35340.61,35336.292,1368.98,1369.325,2406.58,2407.267,35458.37,35454.141
2026-04-23 00:01:00,35340.54,35336.222,1368.92,1369.265,2406.62,2407.307,35458.3,35454.071
2026-04-23 00:02:00,35340.52,35336.202,1368.81,1369.155,2406.62,2407.307,35458.28,35454.051
2026-04-23 00:03:00,35340.06,35335.742,1368.7,1369.045,2406.58,2407.267,35457.82,35453.591
2026-04-23 00:04:00,35339.79,35335.472,1368.7,1369.045,2406.56,2407.247,35457.56,35453.331
2026-04-23 00:05:00,35339.62,35335.302,1368.84,1369.185,2406.6,2407.287,35457.4,35453.171
2026-04-23 00:06:00,35339.32,35335.002,1369.06,1369.405,2406.65,2407.337,35457.1,35452.871
2026-04-23 00:07:00,35338.88,35334.562,1369.24,1369.585,2406.62,2407.307,35456.67,35452.441
2026-04-23 00:08:00,35338.37,35336.642,1369.39,1369.835,2406.56,2407.248,35456.18,35454.507
2026-04-23 00:09:00,35337.99,35336.262,1369.38,1369.825,2406.56,2407.248,35455.81,35454.137
2026-04-23 00:10:00,35337.51,35335.782,1369.21,1369.655,2406.56,2407.248,35455.31,35453.637
2026-04-23 00:11:00,35337.22,35335.492,1368.99,1369.435,2406.53,2407.218,35455.03,35453.357
2026-04-23 00:12:00,35337.12,35335.392,1368.78,1369.225,2406.56,2407.248,35454.93,35453.257
2026-04-23 00:13:00,35336.93,35335.202,1368.47,1368.915,2406.64,2407.328,35454.73,35453.057
2026-04-23 00:14:00,35336.85,35335.122,1368.17,1368.615,2406.71,2407.398,35454.65,35452.977
2026-04-23 00:15:00,35336.63,35334.902,1368.06,1368.505,2406.7,2407.388,35454.41,35452.737
2026-04-23 00:16:00,35336.26,35335.88,1368.08,1369.187,2406.67,2407.114,35454.05,35453.735
2026-04-23 00:17:00,35336.13,35335.75,1368.11,1369.217,2406.73,2407.174,35453.92,35453.605
2026-04-23 00:18:00,35336.11,35335.73,1367.96,1369.067,2406.81,2407.254,35453.89,35453.575
2026-04-23 00:19:00,35336.02,35335.64,1367.95,1369.057,2406.85,2407.294,35453.8,35453.485
